uuid,upstream,source,Name,version,date_modifi,completenes,source_url,raw-source,type,services,physical_ad,phone,mobile,email,url,activities,beds,ancillary_s,tags,scope_of_se,nature_of_f,ownership,staff,defining_ho,notes,inpatient_s,raw_source,what3words,source2,note,family_prac,emergency_p,heliport,contact,servicios_d,fracturas_a,traslados_d,service,lon,lat
"7a08c852f5f84aa88d196a7353d3cce7","openstreetmap¶w330883594","OpenStreetMap","1 clinic Safira","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/330883594","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","taunts.reconstructed.invoice","OpenStreetMap","null","null","null","null","null","null","null","null","null",96.8376769673352,3.74016805
"8ae5968467fb4fd7acd2237fa4f93853","openstreetmap¶w314669808","OpenStreetMap","172","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/314669808","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","vets.neutrinos.slickness","OpenStreetMap","null","null","null","null","null","null","null","null","null",96.8203796,3.7270323
"168fdfdc2f454a85b4eebb1825e11d3c","OpenStreetMap¶w462285627","OpenStreetMap","3D Clinic Pakal","2","2016-12-28 09:23:26+00:00","29.41%","http://www.openstreetmap.org/way/462285627","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","entry.free.conducted","OpenStreetMap","null","null","null","null","null","null","null","null","null",112.62602085,-7.24946325
"f507ce53b85d4334a13f330dfb76cdb5","openstreetmap¶w232602976","OpenStreetMap","48","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/232602976","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","constants.tabulated.complex","OpenStreetMap","null","null","null","null","null","null","null","null","null",123.6752873,-10.2697382
"59f7008700f24d1f9633adb742aeb489","openstreetmap¶w327627745","OpenStreetMap","58","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/327627745","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","depending.anomalies.bellowing","OpenStreetMap","null","null","null","null","null","null","null","null","null",96.8411828851429,3.72100395
"d098c4501e5f48488bc978914833d1d0","openstreetmap¶n2690662128","OpenStreetMap","ABS Medika Klinik 24 Jam","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/2690662128","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","clinking.wire.monopoly","OpenStreetMap","null","null","null","null","null","null","null","null","null",116.0762173,-8.5664829
"f008b37cf866460392866a44bd7c83a7","openstreetmap¶n2714591723","OpenStreetMap","AFIYAH INSANI - IBU HARTINI","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/2714591723","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","squashes.frequency.suffered","OpenStreetMap","null","null","null","null","null","null","null","null","null",110.8735967,-7.7457678
"652acfec9af345bc9cfc57767f1d749f","OpenStreetMap¶n4370197110","OpenStreetMap","AIRIN BEAUTY CARE","2","2016-08-27 19:23:27+00:00","29.41%","http://www.openstreetmap.org/node/4370197110","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","winded.passions.succumbs","OpenStreetMap","null","null","null","null","null","null","null","null","null",107.6585757,-6.9213387
"d5162eb237c0413f808e70a513ba02ab","openstreetmap¶w314513966","OpenStreetMap","AMC (Advance Medical Center)","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/314513966","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","petition.preoccupied.guru","OpenStreetMap","null","null","null","null","null","null","null","null","null",106.783102222864,-6.12000235
"f8a111e3a3724689b029be34bf9bf697","openstreetmap¶n2479752915","OpenStreetMap","AMC (Advance Medical Center)","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/2479752915","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","piano.unions.dial","OpenStreetMap","null","null","null","null","null","null","null","null","null",106.7831089,-6.1198611
