uuid,upstream,source,name,version,date_modifi,completenes,source_url,raw-source,type,services,physical_ad,phone,mobile,email,url,activities,beds,ancillary_s,tags,scope_of_se,nature_of_f,ownership,staff,defining_ho,notes,inpatient_s,raw_source,what3words,source2,note,family_prac,emergency_p,heliport,contact,servicios_d,fracturas_a,traslados_d,service,lon,lat
"ddeb09c649234c00b485b7ea00319429","The Standby Task Force¶HF1686","MOHS DHIS","(Under Five) Chp","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Community Health Post","null","null","null","null","null","null","null","null","null","null","null","engages.throats.supreme","MOHS DHIS","null","null","null","null","null","null","null","null","null",-10.57345759,8.276540728
"325a4921301245ccb6fdeb7f39b37a73","The Standby Task Force¶HF1221","SL-MOH","34 Military Hosp (EPI)","5","2016-06-22 13:37:17.667661+00:00","41.18%","http://health.gov.sl/","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Hospital","null","null","null","null","null","null","null","null","null","null","null","prices.nitrate.hairpin","SL-MOH","null","null","null","null","null","null","null","null","null",-13.26141933,8.465089192
"93cbca11aeb9465087107a2e10632959","openstreetmap¶w314741466","OpenStreetMap","34 Military Hospital","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/314741466","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","declining.incurs.retire","OpenStreetMap","null","null","null","null","null","null","null","null","null",-13.2608950815999,8.4639396
"1dd88238e85b4eacbcbe1711d03ad3ef","The Standby Task Force¶HF1309","US Embassy Sierra Leone","34 Military Hospital","5","2016-06-22 13:37:17.667661+00:00","41.18%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","spray.civil.topmost","US Embassy Sierra Leone","null","null","null","null","null","null","null","null","null",-13.26073889,8.463466667
"1b8d5cfef4ef4210b8f6140a2b8c81ef","The Standby Task Force¶HF1618","MOHS DHIS","34 Military Hospital","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Military Hospital","null","null","null","null","null","null","null","null","null","null","null","prices.nitrate.hairpin","MOHS DHIS","null","null","null","null","null","null","null","null","null",-13.26141933,8.465089192
"898f1e768b3e4cc293a7ea67b32ac20b","The Standby Task Force¶HF1403","Yellow Pages, Cybo","A. K. J Pharmacy","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Pharmacy","null","null","null","null","null","null","null","null","null","null","null","secondly.husband.pipeline","Yellow Pages, Cybo","null","null","null","null","null","null","null","null","null",-13.230386,8.488098
"d30c5b6f50ff401d9cf94c2d0b590c22","The Standby Task Force¶HF1410","Yellow Pages, Cybo","A. K. J. Pharmacy (Bai Bureh Rd Kissy)","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Pharmacy","null","null","null","null","null","null","null","null","null","null","null","herring.flux.soak","Yellow Pages, Cybo","null","null","null","null","null","null","null","null","null",-13.16675,8.450347
"508641dba08d4c7793d27488efc340cd","openstreetmap¶w308521068","OpenStreetMap","AHS - Waterloo Hospital","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/308521068","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","fail.sloppily.slink","OpenStreetMap","null","null","null","null","null","null","null","null","null",-13.0735395192048,8.33569675
"16d034121e46455a999ac2b90102dca4","The Standby Task Force¶HF1307","Panoramio","AHS Waterloo Hospital","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","provides medical and surgical services","null","null","null","null","null","null","null","null","null","null","null","review.engenders.fanatically","Panoramio","null","null","null","null","null","null","null","null","null",-13.073747,8.335611
"683bf7608f144a85a5dcf06bd5725af7","openstreetmap¶n3371967176","OpenStreetMap","AHS hospital building main water loo","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/3371967176","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","involuntary.unwholesome.storyboard","OpenStreetMap","null","null","null","null","null","null","null","null","null",-13.0752279,8.3372742
"c75a6becac6644cf85c6d3218b47433d","openstreetmap¶n3343683831","OpenStreetMap","APPROVED COMMUNITY HEALTH CENTER","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/3343683831","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","barman.ankle.tall","OpenStreetMap","null","null","null","null","null","null","null","null","null",-13.1761089,8.4591375
"c04de9fe5a664ceda3bdfb2673607cd4","openstreetmap¶n3342113914","OpenStreetMap","ARAB EGYPT CLINIC","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/3342113914","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","flux.mild.agrees","OpenStreetMap","null","null","null","null","null","null","null","null","null",-13.1977052,8.4720119
"7f746e6859ba4dd7925822e38a950e97","openstreetmap¶w311195619","OpenStreetMap","AWAKE HOSPITAL","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/311195619","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","twilight.tiptoes.ports","OpenStreetMap","null","null","null","null","null","null","null","null","null",-13.1537535257436,8.42004655
"2c7d469f2b8b486d8a0db7d69832b972","The Standby Task Force¶HF1310","US Embassy Sierra Leone","Abanita Hospital","5","2016-06-22 13:37:17.667661+00:00","41.18%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","budding.crusted.filled","US Embassy Sierra Leone","null","null","null","null","null","null","null","null","null",-13.231623,8.490552
"33590c096ec84268a04e0eb9e18736e9","The Standby Task Force¶HF1547","MOHS DHIS","Abanita Hospital","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Hospital","null","null","null","null","null","null","null","null","null","null","null","camped.always.trick","MOHS DHIS","null","null","null","null","null","null","null","null","null",-13.23162593,8.490668523
"0c15925865364e7e824fdca7ae351d31","The Standby Task Force¶HF1463","Yellow Pages, Cybo","Abassa Tholley","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","pharmacy","null","null","null","null","null","null","null","null","null","null","null","articulated.eyelash.stocked","Yellow Pages, Cybo","null","null","null","null","null","null","null","null","null",-13.166674,8.450007
"07bc80b2be5641d39d1a3055ccd9c53b","The Standby Task Force¶HF1169","SL-MOH","Ad- Bangs Quarry","5","2016-06-22 13:37:17.667661+00:00","41.18%","http://health.gov.sl/","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Maternal and Child Health Post","null","null","null","null","null","null","null","null","null","null","null","crisis.elbow.notebook","SL-MOH","null","null","null","null","null","null","null","null","null",-13.2098,8.47941
"38f05dc44ef44a6f8bd51cabd36a0033","The Standby Task Force¶HF1114","SL-MOH","Adonkia","5","2016-06-22 13:37:17.667661+00:00","41.18%","http://health.gov.sl/","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Community Health Post","null","null","null","null","null","null","null","null","null","null","null","scarf.rents.beaker","SL-MOH","null","null","null","null","null","null","null","null","null",-13.2673095,8.415735
"0ef002fe5523456296c34c7c2977d122","The Standby Task Force¶HF1656","MOHS DHIS","Adventist Health System","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Mission Hospital","null","null","null","null","null","null","null","null","null","null","null","braves.bindings.gushes","MOHS DHIS","null","null","null","null","null","null","null","null","null",-13.07355103,8.336503625
"c76a6c6eb03e4c4786ef7a1393a53cdb","The Standby Task Force¶HF1575","MOHS DHIS","African Muslim Agency","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Mission Hospital","null","null","null","null","null","null","null","null","null","null","null","subsets.deputy.kitchen","MOHS DHIS","null","null","null","null","null","null","null","null","null",-13.19386339,8.475595817
"9c50c0c010b240f18b3cb1b5b13b2ad2","The Standby Task Force¶HF0233","SL-MOH","African Muslim Agency Cli","5","2016-06-22 13:37:17.667661+00:00","41.18%","http://health.gov.sl/","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Clinic","null","null","null","null","null","null","null","null","null","null","null","symphony.bunches.reluctance","SL-MOH","null","null","null","null","null","null","null","null","null",-12.05218555,8.861745647
"7518140b2cf5443bab1f18bfc732fe6e","The Standby Task Force¶HF1509","MOHS DHIS","African Muslim Agency Clinic","5","2016-06-22 13:37:17.667661+00:00","47.06%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Ngo Clinic","null","null","null","null","null","null","null","null","null","null","null","metro.pull.pouting","MOHS DHIS","null","null","null","null","null","null","null","null","null",-11.20196726,7.862458309
"63033ade6b3542d383d5ac8770932bf7","The Standby Task Force¶HF1732","MOHS DHIS","Ahmadiyya Mission","5","2016-06-22 13:37:17.667661+00:00","41.18%","null","https://data.humdata.org/dataset/sierra-leone-healthsites","null","null","null","null","null","null","null","Mission Clinic","null","null","null","null","null","null","null","null","null","null","null","strainer.spellers.puncturing","MOHS DHIS","null","null","null","null","null","null","null","null","null",-12.94879122,9.014166475
