orig, dest, cnt
,nor_169_15_gadm2-8,22
afg_1_14_gadm2-8,fin_78_4_gadm2-8,6
afg_1_4_gadm2-8,fin_78_4_gadm2-8,6
afg_1_4_gadm2-8,hrv_58_5_gadm2-8,1
afg_1_4_gadm2-8,tur_235_37_gadm2-8,1
ago_8_11_gadm2-8,cpv_43_16_gadm2-8,1
ago_8_11_gadm2-8,prt_182_3_gadm2-8,20
alb_4_11_gadm2-8,tza_227_2_gadm2-8,1
are_241_1_gadm2-8,cub_59_11_gadm2-8,4
are_241_1_gadm2-8,nzl_160_15_gadm2-8,16
are_241_1_gadm2-8,phl_179_15_gadm2-8,26
are_241_1_gadm2-8,ukr_240_9_gadm2-8,1
are_241_1_gadm2-8,usa_244_6_gadm2-8,46
are_241_3_gadm2-8,mda_147_12_gadm2-8,140
are_241_3_gadm2-8,mys_136_13_gadm2-8,151
are_241_3_gadm2-8,nzl_160_8_gadm2-8,1
are_241_3_gadm2-8,phl_179_70_gadm2-8,22
are_241_3_gadm2-8,tha_228_33_gadm2-8,2
arg_12_13_gadm2-8,hrv_58_4_gadm2-8,1
arg_12_15_gadm2-8,mex_145_2_gadm2-8,1
arg_12_15_gadm2-8,nzl_160_11_gadm2-8,1
arg_12_15_gadm2-8,arg_12_23_gadm2-8,55
arg_12_18_gadm2-8,col_53_19_gadm2-8,2
arg_12_1_gadm2-8,sau_200_11_gadm2-8,14
arg_12_21_gadm2-8,guy_98_3_gadm2-8,1
arg_12_21_gadm2-8,hun_103_5_gadm2-8,1
arg_12_4_gadm2-8,arg_12_23_gadm2-8,55
arg_12_6_gadm2-8,esp_215_8_gadm2-8,90
arg_12_6_gadm2-8,fra_79_1_gadm2-8,1
arg_12_9_gadm2-8,usa_244_22_gadm2-8,2
arm_13_4_gadm2-8,bgd_20_2_gadm2-8,1
arm_13_4_gadm2-8,grc_89_5_gadm2-8,1
arm_13_4_gadm2-8,omn_170_9_gadm2-8,2
arm_13_4_gadm2-8,rus_188_27_gadm2-8,45
atg_11_6_gadm2-8,prt_182_12_gadm2-8,2
aus_15_10_gadm2-8,chn_49_25_gadm2-8,121
aus_15_10_gadm2-8,tgo_230_3_gadm2-8,1
aus_15_10_gadm2-8,usa_244_39_gadm2-8,45
aus_15_11_gadm2-8,aut_16_9_gadm2-8,61
aus_15_11_gadm2-8,hun_103_9_gadm2-8,0
aus_15_11_gadm2-8,ind_105_14_gadm2-8,1
aus_15_2_gadm2-8,dza_5_4_gadm2-8,2
aus_15_2_gadm2-8,grc_89_3_gadm2-8,5
aus_15_5_gadm2-8,fji_77_3_gadm2-8,30
aus_15_5_gadm2-8,jpn_114_34_gadm2-8,4
aus_15_5_gadm2-8,mex_145_25_gadm2-8,2
aus_15_5_gadm2-8,tur_235_67_gadm2-8,5
aus_15_6_gadm2-8,usa_244_29_gadm2-8,3
aus_15_7_gadm2-8,bfa_38_7_gadm2-8,0
aus_15_7_gadm2-8,bol_28_8_gadm2-8,0
aus_15_7_gadm2-8,chn_49_18_gadm2-8,256
aus_15_7_gadm2-8,hkg_102_1_gadm2-8,3085
aus_15_7_gadm2-8,idn_106_16_gadm2-8,6
aus_15_7_gadm2-8,ita_112_20_gadm2-8,26
aus_15_7_gadm2-8,ita_112_6_gadm2-8,18
aus_15_7_gadm2-8,mli_138_1_gadm2-8,2
